Commodities,Countries,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),HS_Code,critical_mineral,CategoryType
2504 Natural Graphite,Singapore,2017,5593,5593.0,2504,Graphite,Other
2504 Natural Graphite,"Korea, South",2006,5461,5461.0,2504,Graphite,Other
2504 Natural Graphite,Taiwan,2017,28049,28049.0,2504,Graphite,Other
2504 Natural Graphite,Hong Kong,2002,11100,11100.0,2504,Graphite,Other
2504 Natural Graphite,Japan,2002,1581524,1581524.0,2504,Graphite,Other
2504 Natural Graphite,Taiwan,2016,6600,6600.0,2504,Graphite,Other
2504 Natural Graphite,Taiwan,2009,5000,5000.0,2504,Graphite,Other
2504 Natural Graphite,Japan,2004,2600027,2600027.0,2504,Graphite,Other
2504 Natural Graphite,Japan,2006,916690,916690.0,2504,Graphite,Other
2504 Natural Graphite,Taiwan,2002,17218,17218.0,2504,Graphite,Other
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,Japan,2012,14800,14800.0,2602,Manganese,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,"Korea, South",2017,12795,12795.0,2602,Manganese,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,Japan,2014,6000,6000.0,2602,Manganese,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,"Korea, South",2013,72800,72800.0,2602,Manganese,Ore/Raw
2603 Copper Ores And Concentrates,"Korea, South",2025,4613,4613.0,2603,Copper,Ore/Raw
2603 Copper Ores And Concentrates,Indonesia,2002,5723332,5723332.0,2603,Copper,Ore/Raw
2603 Copper Ores And Concentrates,Japan,2023,9690,9690.0,2603,Copper,Ore/Raw
2603 Copper Ores And Concentrates,Japan,2022,10170,10170.0,2603,Copper,Ore/Raw
2603 Copper Ores And Concentrates,Taiwan,2023,4724,4724.0,2603,Copper,Ore/Raw
2603 Copper Ores And Concentrates,Indonesia,2001,14201112,,2603,Copper,Ore/Raw
2603 Copper Ores And Concentrates,Indonesia,2016,43973,43973.0,2603,Copper,Ore/Raw
2603 Copper Ores And Concentrates,Taiwan,2025,17013,17013.0,2603,Copper,Ore/Raw
2603 Copper Ores And Concentrates,Japan,2016,4650,4650.0,2603,Copper,Ore/Raw
2603 Copper Ores And Concentrates,Taiwan,2021,49343,49343.0,2603,Copper,Ore/Raw
2603 Copper Ores And Concentrates,Indonesia,2015,174400,174400.0,2603,Copper,Ore/Raw
2603 Copper Ores And Concentrates,Japan,2025,208998,208998.0,2603,Copper,Ore/Raw
2603 Copper Ores And Concentrates,Singapore,2019,2556,2556.0,2603,Copper,Ore/Raw
2603 Copper Ores And Concentrates,Japan,2021,11250,11250.0,2603,Copper,Ore/Raw
2603 Copper Ores And Concentrates,Taiwan,2002,82000,82000.0,2603,Copper,Ore/Raw
2603 Copper Ores And Concentrates,Japan,2024,10080,10080.0,2603,Copper,Ore/Raw
2604 Nickel Ores And Concentrates,Hong Kong,2015,2820,2820.0,2604,Nickel,Ore/Raw
2604 Nickel Ores And Concentrates,Japan,2018,6020,6020.0,2604,Nickel,Ore/Raw
2604 Nickel Ores And Concentrates,Thailand,2016,5615,5615.0,2604,Nickel,Ore/Raw
2604 Nickel Ores And Concentrates,Thailand,2015,14775,14775.0,2604,Nickel,Ore/Raw
2604 Nickel Ores And Concentrates,Japan,2015,42816,42816.0,2604,Nickel,Ore/Raw
2604 Nickel Ores And Concentrates,Hong Kong,2019,5820,5820.0,2604,Nickel,Ore/Raw
2604 Nickel Ores And Concentrates,Indonesia,2002,3200,3200.0,2604,Nickel,Ore/Raw
2604 Nickel Ores And Concentrates,Taiwan,2023,7708,7708.0,2604,Nickel,Ore/Raw
2604 Nickel Ores And Concentrates,Japan,2008,13023,13023.0,2604,Nickel,Ore/Raw
2604 Nickel Ores And Concentrates,Japan,2017,8896,8896.0,2604,Nickel,Ore/Raw
2604 Nickel Ores And Concentrates,Japan,2016,2313,2313.0,2604,Nickel,Ore/Raw
2604 Nickel Ores And Concentrates,Taiwan,2017,6944,6944.0,2604,Nickel,Ore/Raw
2604 Nickel Ores And Concentrates,"Korea, South",2014,13287,13287.0,2604,Nickel,Ore/Raw
2604 Nickel Ores And Concentrates,Singapore,2025,2145,2145.0,2604,Nickel,Ore/Raw
2604 Nickel Ores And Concentrates,Thailand,2013,3245,3245.0,2604,Nickel,Ore/Raw
2605 Cobalt Ores And Concentrates,"Korea, South",2019,89622,89622.0,2605,Cobalt,Ore/Raw
2605 Cobalt Ores And Concentrates,Taiwan,2018,509275,509275.0,2605,Cobalt,Ore/Raw
2605 Cobalt Ores And Concentrates,Japan,2014,247149,247149.0,2605,Cobalt,Ore/Raw
2605 Cobalt Ores And Concentrates,Japan,2017,119440,119440.0,2605,Cobalt,Ore/Raw
2605 Cobalt Ores And Concentrates,Japan,2012,692673,692673.0,2605,Cobalt,Ore/Raw
2605 Cobalt Ores And Concentrates,"Korea, South",2001,195000,,2605,Cobalt,Ore/Raw
2605 Cobalt Ores And Concentrates,Japan,2015,176763,176763.0,2605,Cobalt,Ore/Raw
2605 Cobalt Ores And Concentrates,Taiwan,2007,1092000,1092000.0,2605,Cobalt,Ore/Raw
2605 Cobalt Ores And Concentrates,Japan,2016,401872,401872.0,2605,Cobalt,Ore/Raw
2606 Aluminum Ores And Concentrates,"Korea, South",2020,16800,16800.0,2606,Aluminum,Ore/Raw
2606 Aluminum Ores And Concentrates,Singapore,2020,14613,14613.0,2606,Aluminum,Ore/Raw
2606 Aluminum Ores And Concentrates,Singapore,2012,578699,578699.0,2606,Aluminum,Ore/Raw
2614 Titanium Ores And Concentrates,Japan,2012,6250,6250.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,"Korea, South",2008,97200,97200.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Taiwan,2016,4198,4198.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Japan,2004,5034,5034.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Japan,2003,19217,19217.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Vietnam,2004,2752100,2752100.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Malaysia,2009,2920983,2920983.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Japan,2024,120937,120937.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Vietnam,2002,1181212,1181212.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Malaysia,2003,4899519,4899519.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Malaysia,2016,3738504,3738504.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Malaysia,2012,1752377,1752377.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Malaysia,2017,1931497,1931497.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Malaysia,2015,2815171,2815171.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Malaysia,2001,6557518,,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Japan,2002,5425,5425.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Malaysia,2011,6831832,6831832.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Malaysia,2007,2426300,2426300.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Malaysia,2006,4301600,4301600.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Malaysia,2004,2394100,2394100.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Japan,2022,297318,297318.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,"Korea, South",2003,35304,35304.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Japan,2023,177990,177990.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Malaysia,2005,6192500,6192500.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Japan,2008,6178,6178.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Vietnam,2003,2889488,2889488.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,"Korea, South",2002,17400,17400.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Malaysia,2014,4025099,4025099.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Japan,2021,5036,5036.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Malaysia,2008,2078762,2078762.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Malaysia,2002,5140299,5140299.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Malaysia,2010,2617444,2617444.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,"Korea, South",2011,51960,51960.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,"Korea, South",2023,42300,42300.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,"Korea, South",2017,7001,7001.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Malaysia,2019,82922,82922.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Japan,2013,9991,9991.0,2614,Titanium,Ore/Raw
2614 Titanium Ores And Concentrates,Malaysia,2013,4199629,4199629.0,2614,Titanium,Ore/Raw
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2008,18393054,18393054.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South",2022,2094768,2094768.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2016,11643878,11643878.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South",2023,1524070,1524070.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South",2018,1506721,1506721.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Taiwan,2017,9000,9000.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Singapore,2021,41032,41032.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South",2014,729890,729890.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2025,15629461,15629461.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2014,21476977,21476977.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South",2012,760165,760165.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Taiwan,2020,11250,11250.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2004,20585364,20585364.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Singapore,2008,4000,4000.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Thailand,2001,20100,,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2006,21758117,21758117.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2010,19129428,19129428.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2019,10629796,10629796.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South",2024,1229862,1229862.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2003,21221487,21221487.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2017,10104480,10104480.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2018,11875139,11875139.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2001,25103458,,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2013,20880097,20880097.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South",2013,529593,529593.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South",2015,487194,482394.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South",2025,197685,197685.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South",2011,617017,617017.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2022,18670729,18670729.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2021,13164773,13164773.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South",2021,1188720,1188720.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South",2017,1299326,1299326.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Taiwan,2008,4492,4492.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Taiwan,2012,46268,46268.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South",2010,151600,151600.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2023,13632011,13632011.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2002,22696161,22696161.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2015,14943104,14943104.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South",2001,2772,,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South",2016,1031467,1031467.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2005,20388805,20388805.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South",2004,3016,3016.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2009,17121371,17121371.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2007,19970644,19970644.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2011,16899242,16899242.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2020,10734453,10734453.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Singapore,2023,3995,3995.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South",2019,1475276,1475276.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South",2020,1175660,1175660.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Taiwan,2010,31640,31640.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2012,20025993,20025993.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2024,26431972,26431972.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South",2006,2550,2550.0,2801,Fluorine,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Taiwan,2016,2700,2700.0,2801,Fluorine,Other
2820 Manganese Oxides,Singapore,2008,206150,206150.0,2820,Manganese,Compound
2820 Manganese Oxides,Japan,2025,574380,574380.0,2820,Manganese,Compound
2820 Manganese Oxides,Taiwan,2023,134880,134880.0,2820,Manganese,Compound
2820 Manganese Oxides,"Korea, South",2022,2407622,2407622.0,2820,Manganese,Compound
2820 Manganese Oxides,Japan,2007,5078647,5078647.0,2820,Manganese,Compound
2820 Manganese Oxides,Japan,2019,7460248,7460248.0,2820,Manganese,Compound
2820 Manganese Oxides,Japan,2014,13744172,13744172.0,2820,Manganese,Compound
2820 Manganese Oxides,Japan,2023,944744,944744.0,2820,Manganese,Compound
2820 Manganese Oxides,Japan,2022,6140364,6140364.0,2820,Manganese,Compound
2820 Manganese Oxides,Japan,2021,6859578,6859578.0,2820,Manganese,Compound
2820 Manganese Oxides,Indonesia,2023,91380,91380.0,2820,Manganese,Compound
2820 Manganese Oxides,Japan,2018,11191155,11191155.0,2820,Manganese,Compound
2820 Manganese Oxides,"Korea, South",2025,642122,642122.0,2820,Manganese,Compound
2820 Manganese Oxides,Japan,2024,1102006,1102006.0,2820,Manganese,Compound
2820 Manganese Oxides,"Korea, South",2023,1996497,1996497.0,2820,Manganese,Compound
2820 Manganese Oxides,Japan,2002,2840302,2840302.0,2820,Manganese,Compound
2820 Manganese Oxides,Japan,2016,10894431,10894431.0,2820,Manganese,Compound
2820 Manganese Oxides,"Korea, South",2015,3808823,3808823.0,2820,Manganese,Compound
2820 Manganese Oxides,"Korea, South",2014,3452412,3452412.0,2820,Manganese,Compound
2820 Manganese Oxides,Indonesia,2006,74516,74516.0,2820,Manganese,Compound
2820 Manganese Oxides,Japan,2004,4102608,4102608.0,2820,Manganese,Compound
2820 Manganese Oxides,"Korea, South",2009,79297,79297.0,2820,Manganese,Compound
2820 Manganese Oxides,Singapore,2012,251940,251940.0,2820,Manganese,Compound
2820 Manganese Oxides,Taiwan,2022,190499,190499.0,2820,Manganese,Compound
2820 Manganese Oxides,"Korea, South",2007,35700,35700.0,2820,Manganese,Compound
2820 Manganese Oxides,Japan,2005,5827170,5827170.0,2820,Manganese,Compound
2820 Manganese Oxides,"Korea, South",2017,8163915,8163915.0,2820,Manganese,Compound
2820 Manganese Oxides,"Korea, South",2012,25160,25160.0,2820,Manganese,Compound
2820 Manganese Oxides,Hong Kong,2002,129120,129120.0,2820,Manganese,Compound
2820 Manganese Oxides,"Korea, South",2003,32090,32090.0,2820,Manganese,Compound
2820 Manganese Oxides,"Korea, South",2021,1482448,1482448.0,2820,Manganese,Compound
2820 Manganese Oxides,"Korea, South",2019,2463950,2463950.0,2820,Manganese,Compound
2820 Manganese Oxides,"Korea, South",2020,2641319,2641319.0,2820,Manganese,Compound
2820 Manganese Oxides,Japan,2003,3613425,3613425.0,2820,Manganese,Compound
2820 Manganese Oxides,Singapore,2011,310080,310080.0,2820,Manganese,Compound
2820 Manganese Oxides,"Korea, South",2013,697410,697410.0,2820,Manganese,Compound
2820 Manganese Oxides,Singapore,2017,106875,106875.0,2820,Manganese,Compound
2820 Manganese Oxides,Japan,2009,11450349,11450349.0,2820,Manganese,Compound
2820 Manganese Oxides,Indonesia,2024,490000,490000.0,2820,Manganese,Compound
2820 Manganese Oxides,"Korea, South",2024,465994,465994.0,2820,Manganese,Compound
2820 Manganese Oxides,Singapore,2009,194460,194460.0,2820,Manganese,Compound
2820 Manganese Oxides,Taiwan,2014,3870,3870.0,2820,Manganese,Compound
2820 Manganese Oxides,Singapore,2015,352830,352830.0,2820,Manganese,Compound
2820 Manganese Oxides,Japan,2020,9558233,9558233.0,2820,Manganese,Compound
2820 Manganese Oxides,Singapore,2007,142215,142215.0,2820,Manganese,Compound
2820 Manganese Oxides,Japan,2008,8839548,8839548.0,2820,Manganese,Compound
2820 Manganese Oxides,Japan,2017,14804187,14804187.0,2820,Manganese,Compound
2820 Manganese Oxides,"Korea, South",2016,6811382,6811382.0,2820,Manganese,Compound
2820 Manganese Oxides,Singapore,2014,303525,303525.0,2820,Manganese,Compound
2820 Manganese Oxides,Japan,2010,16087746,16087746.0,2820,Manganese,Compound
2820 Manganese Oxides,Japan,2013,14564232,14564232.0,2820,Manganese,Compound
2820 Manganese Oxides,"Korea, South",2011,225600,225600.0,2820,Manganese,Compound
2820 Manganese Oxides,"Korea, South",2018,9493803,9493803.0,2820,Manganese,Compound
2820 Manganese Oxides,Japan,2006,9179122,9179122.0,2820,Manganese,Compound
2820 Manganese Oxides,Singapore,2010,245100,245100.0,2820,Manganese,Compound
2820 Manganese Oxides,Singapore,2013,317693,317693.0,2820,Manganese,Compound
2820 Manganese Oxides,"Korea, South",2008,149698,149698.0,2820,Manganese,Compound
2820 Manganese Oxides,Japan,2011,20148354,20148354.0,2820,Manganese,Compound
2820 Manganese Oxides,"Korea, South",2006,7511,7511.0,2820,Manganese,Compound
2820 Manganese Oxides,"Korea, South",2010,36663,36663.0,2820,Manganese,Compound
2820 Manganese Oxides,Japan,2001,975219,,2820,Manganese,Compound
2820 Manganese Oxides,Japan,2015,13518607,13518607.0,2820,Manganese,Compound
2820 Manganese Oxides,Japan,2012,20707402,20707402.0,2820,Manganese,Compound
2820 Manganese Oxides,Singapore,2016,152760,152760.0,2820,Manganese,Compound
2820 Manganese Oxides,Indonesia,2025,70000,70000.0,2820,Manganese,Compound
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Japan,2021,27234139,27234139.0,2846,Rare Earth Elements,Compound
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Taiwan,2014,181385,181385.0,2846,Rare Earth Elements,Compound
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Malaysia,2008,10944,10944.0,2846,Rare Earth Elements,Compound
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,"Korea, South",2013,2474047,1364416.0,2846,Rare Earth Elements,Compound
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Vietnam,2011,34807500,3270000.0,2846,Rare Earth Elements,Compound
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,"Korea, South",2020,1392760,1392760.0,2846,Rare Earth Elements,Compound
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Singapore,2020,17000,17000.0,2846,Rare Earth Elements,Compound
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,"Korea, South",2017,9033013,1342195.0,2846,Rare Earth Elements,Compound
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Singapore,2024,10512,10512.0,2846,Rare Earth Elements,Compound
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Taiwan,2013,187527,187527.0,2846,Rare Earth Elements,Compound
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,"Korea, South",2012,4219095,2639560.0,2846,Rare Earth Elements,Compound
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Japan,2015,33163987,24074723.0,2846,Rare Earth Elements,Compound
